transaction_id,user_id,merchant_id,transaction_date,amount,currency,status,fraud
316,66,15,2024-01-01 00:22:24,39.57,EUR,approved,0
442,31,26,2024-01-01 00:46:06,62.98,USD,approved,0
259,18,28,2024-01-01 00:53:53,47.64,GBP,approved,1
628,37,30,2024-01-01 03:19:31,25.01,USD,approved,0
789,55,24,2024-01-01 03:24:34,32.05,USD,reversed,0
646,33,15,2024-01-01 03:56:26,24.36,USD,approved,0
401,100,43,2024-01-01 04:39:04,49.08,USD,approved,0
202,91,24,2024-01-01 05:24:18,17.11,USD,approved,0
443,14,47,2024-01-01 06:47:55,47.55,USD,reversed,0
975,15,28,2024-01-01 12:28:21,28.63,USD,approved,0
90,84,8,2024-01-01 14:13:54,41.98,EUR,approved,0
171,11,32,2024-01-01 15:03:01,15.93,USD,approved,0
138,4,19,2024-01-01 16:43:25,38.21,USD,approved,0
261,80,14,2024-01-01 17:06:45,62.08,EUR,approved,1
712,53,24,2024-01-01 17:15:31,17.35,EUR,approved,0
329,15,34,2024-01-01 18:58:13,39.68,USD,approved,0
223,71,49,2024-01-01 19:00:35,23.98,USD,approved,0
636,69,27,2024-01-01 19:06:12,53.03,USD,approved,0
410,2,15,2024-01-01 19:08:09,38.14,EUR,declined,0
469,19,39,2024-01-01 19:25:40,55.69,USD,approved,0
559,80,50,2024-01-01 22:21:29,46.95,EUR,approved,0
951,10,46,2024-01-01 22:39:47,19.29,EUR,approved,0
263,30,23,2024-01-01 22:52:39,22.25,EUR,approved,0
499,93,24,2024-01-01 23:16:10,27.89,EUR,declined,0
322,11,14,2024-01-02 01:05:01,35.07,EUR,approved,0
866,70,21,2024-01-02 01:19:36,45.15,GBP,approved,0
764,94,31,2024-01-02 01:50:49,20.56,USD,approved,0
630,37,7,2024-01-02 03:45:00,43.85,USD,approved,0
203,50,50,2024-01-02 04:12:07,31.14,USD,approved,0
728,9,29,2024-01-02 04:52:06,25.0,USD,approved,0
38,83,1,2024-01-02 04:58:57,16.61,USD,approved,0
772,99,19,2024-01-02 05:05:14,17.35,EUR,approved,0
881,9,20,2024-01-02 05:15:52,80.45,EUR,approved,0
339,21,39,2024-01-02 07:17:00,23.62,EUR,approved,0
371,34,45,2024-01-02 07:38:07,51.85,USD,declined,0
522,15,36,2024-01-02 07:48:21,23.66,EUR,approved,0
780,86,35,2024-01-02 08:28:57,27.58,USD,approved,0
884,16,43,2024-01-02 11:21:52,29.57,USD,approved,0
412,23,29,2024-01-02 11:36:38,23.64,USD,approved,0
972,42,47,2024-01-02 12:36:00,61.35,EUR,approved,0
505,28,30,2024-01-02 12:37:13,21.31,USD,approved,0
278,79,39,2024-01-02 13:01:18,29.56,USD,approved,1
618,27,26,2024-01-02 13:51:16,34.2,GBP,approved,0
314,29,43,2024-01-02 14:01:16,92.17,USD,approved,0
488,54,1,2024-01-02 15:47:40,19.19,USD,approved,0
657,77,43,2024-01-02 17:57:17,34.38,GBP,declined,0
460,11,26,2024-01-02 18:49:49,13.74,GBP,approved,0
788,69,5,2024-01-02 19:04:24,21.18,USD,approved,0
982,71,32,2024-01-02 19:26:17,46.65,EUR,approved,0
373,42,23,2024-01-02 20:00:45,16.94,USD,reversed,0
2,78,37,2024-01-02 20:41:07,21.44,EUR,approved,0
525,32,31,2024-01-02 20:52:31,20.66,USD,approved,0
804,92,13,2024-01-02 21:26:39,29.46,USD,approved,0
888,20,21,2024-01-02 21:35:47,21.87,EUR,approved,0
129,58,28,2024-01-02 22:10:20,18.34,USD,approved,0
331,55,23,2024-01-02 22:54:59,12.24,USD,declined,0
711,68,18,2024-01-02 23:33:51,19.88,USD,approved,0
440,40,48,2024-01-02 23:34:37,17.37,GBP,approved,0
964,22,41,2024-01-03 00:06:52,25.5,GBP,approved,0
312,68,18,2024-01-03 00:36:47,34.58,EUR,approved,0
705,13,46,2024-01-03 01:36:34,47.61,USD,declined,0
795,44,24,2024-01-03 01:50:32,61.58,USD,declined,0
232,86,37,2024-01-03 02:08:28,12.89,EUR,approved,0
591,81,37,2024-01-03 02:46:28,52.46,EUR,declined,0
25,79,42,2024-01-03 04:27:12,52.8,USD,approved,0
669,92,27,2024-01-03 07:13:29,42.66,USD,approved,1
856,85,43,2024-01-03 07:45:14,41.26,USD,approved,0
479,67,12,2024-01-03 08:00:42,22.06,USD,approved,0
752,15,45,2024-01-03 10:07:45,59.61,USD,approved,0
635,19,21,2024-01-03 11:56:57,35.05,GBP,approved,0
366,52,1,2024-01-03 13:54:26,49.61,USD,approved,0
529,92,2,2024-01-03 14:11:24,20.41,EUR,approved,0
865,85,42,2024-01-03 14:28:06,7.92,USD,approved,0
317,74,36,2024-01-03 14:30:41,14.76,USD,approved,0
854,24,9,2024-01-03 16:37:20,34.25,EUR,approved,0
912,19,45,2024-01-03 17:13:00,28.7,USD,approved,0
33,10,37,2024-01-03 17:18:02,22.79,GBP,approved,0
82,44,50,2024-01-03 18:02:27,54.81,GBP,reversed,0
340,96,21,2024-01-03 18:47:03,25.39,USD,approved,0
816,84,6,2024-01-03 19:53:09,5.27,USD,declined,0
594,98,1,2024-01-03 20:08:26,183.91,EUR,approved,0
453,50,3,2024-01-03 20:26:21,46.11,USD,approved,0
266,59,2,2024-01-03 20:32:36,35.11,USD,declined,0
306,15,34,2024-01-03 21:11:18,30.37,GBP,approved,0
742,77,38,2024-01-03 21:42:11,29.78,EUR,approved,0
321,33,6,2024-01-03 23:09:29,53.81,EUR,approved,0
957,41,27,2024-01-03 23:16:28,21.18,USD,declined,0
472,81,35,2024-01-03 23:23:34,25.99,USD,approved,0
502,66,14,2024-01-03 23:52:42,22.55,EUR,approved,0
682,14,1,2024-01-04 00:47:47,27.13,USD,approved,0
556,51,9,2024-01-04 02:21:50,36.44,USD,approved,0
515,96,13,2024-01-04 02:27:28,14.82,EUR,approved,0
423,77,30,2024-01-04 02:44:49,25.18,USD,approved,0
623,17,47,2024-01-04 02:49:25,16.57,EUR,approved,0
615,69,4,2024-01-04 03:18:30,34.26,EUR,approved,0
475,64,49,2024-01-04 03:20:54,14.73,USD,reversed,0
177,72,16,2024-01-04 03:46:33,11.48,GBP,approved,0
265,99,12,2024-01-04 04:17:56,65.13,USD,approved,0
946,12,6,2024-01-04 05:15:53,12.32,EUR,approved,0
504,87,17,2024-01-04 05:19:48,28.74,USD,approved,0
244,65,25,2024-01-04 08:31:41,8.21,EUR,approved,0
911,78,4,2024-01-04 08:46:15,17.11,USD,approved,0
723,85,33,2024-01-04 09:47:33,10.83,GBP,approved,0
853,97,23,2024-01-04 10:08:11,75.28,EUR,approved,0
506,46,13,2024-01-04 11:02:06,44.3,USD,approved,0
215,74,4,2024-01-04 11:02:53,28.89,USD,approved,0
214,45,44,2024-01-04 11:18:25,43.38,USD,approved,0
681,73,48,2024-01-04 12:26:48,31.28,EUR,approved,0
786,59,13,2024-01-04 12:36:11,22.82,USD,approved,0
269,62,48,2024-01-04 13:07:49,34.6,EUR,declined,0
700,10,49,2024-01-04 13:14:50,21.19,USD,approved,0
364,90,11,2024-01-04 13:36:55,48.75,USD,declined,0
510,24,35,2024-01-04 15:49:03,53.41,USD,declined,0
